feature_1;feature_2;Label
53920;42968;1
52019;42206;1
52570;42476;1
54220;42081;1
54268;43420;1
52288;42408;1
54436;39727;1
52391;44323;1
54995;43655;1
53761;43403;1
53769;43786;1
52883;41365;1
54448;42846;1
53358;40498;1
54626;43461;1
53751;42326;1
52714;41735;1
53545;43025;1
55281;41180;1
52522;42088;1
53825;42358;1
54951;43538;1
55113;40262;1
53366;41560;1
52425;42226;1
53729;43219;1
54658;41295;1
53236;44502;1
54569;43519;1
55192;40969;1
52661;42382;1
54389;41903;1
54931;42810;1
55003;43219;1
56382;43858;1
54258;44302;1
53785;43039;1
53844;44271;1
53568;38856;1
53300;41958;1
54027;39799;1
54307;44020;1
52648;43224;1
51953;41115;1
56370;40191;1
53655;41979;1
49832;41548;1
54146;41202;1
52375;41772;1
54484;41591;1
51271;41252;1
53894;43780;1
51496;42107;1
55580;41750;1
52235;43593;1
53009;45720;1
52895;40396;1
52314;40370;1
53527;43264;1
51552;42936;1
54356;43953;1
51788;41827;1
53644;44911;1
51526;41555;1
52460;41243;1
52790;40829;1
53560;43487;1
55317;41567;1
54211;42145;1
52736;43734;1
54220;41543;1
55487;40680;1
53164;42365;1
54372;42125;1
52296;42854;1
51853;42724;1
55470;42381;1
55843;43461;1
53041;41762;1
56020;44948;1
54572;42044;1
55615;39213;1
51784;42659;1
54678;42358;1
55264;42101;1
53628;45140;1
51676;41313;1
52069;42197;1
53695;41876;1
52425;41797;1
55562;40697;1
53371;40882;1
53015;43465;1
53484;45006;1
54684;41479;1
52344;45540;1
56100;40476;1
57237;41749;1
52220;40576;1
53611;42444;1
54594;43850;1
51844;42736;1
53038;41204;1
54636;40466;1
52845;43435;1
53530;39504;1
53417;43154;1
55258;43614;1
54519;43642;1
51681;45290;1
49313;41972;1
55194;44097;1
55109;41603;1
53142;43422;1
53656;41913;1
49901;43636;1
53632;43440;1
53989;42372;1
53334;41711;1
53446;41789;1
53340;41575;1
53856;41857;1
54385;42851;1
53719;41851;1
56661;40693;1
54461;41699;1
53281;43550;1
53105;43114;1
51737;40814;1
50511;45158;1
56075;43071;1
55576;41873;1
54356;42479;1
54014;43208;1
54239;41432;1
56462;42733;1
53340;39854;1
55692;42420;1
55367;43043;1
53716;44044;1
51634;41676;1
56679;42675;1
54172;41958;1
51823;40542;1
53576;42596;1
55265;39986;1
52639;41267;1
54347;42795;1
53612;42060;1
53398;43770;1
49899;48712;1
50062;49584;1
49344;47683;1
50670;46231;1
53288;48577;1
52169;49412;1
51152;46601;1
50763;49169;1
49126;46607;1
50904;49470;1
50881;47814;1
53902;49665;1
50462;47490;1
52624;50362;1
51021;48653;1
50826;48127;1
51805;49498;1
52195;49730;1
53579;47959;1
50801;48595;1
51406;49935;1
50128;50181;1
52315;49319;1
51436;48575;1
50422;49794;1
49230;49949;1
50468;48101;1
52922;47579;1
50211;47660;1
50048;46949;1
51858;49406;1
51096;48445;1
49520;49471;1
50393;50758;1
51586;46956;1
54046;46829;1
50415;50077;1
52875;46329;1
50095;50565;1
50470;51527;1
48995;47894;1
53082;48779;1
49852;50340;1
52092;49784;1
50817;50224;1
49486;49476;1
49049;47984;1
48535;46223;1
51012;48233;1
49587;48428;1
52464;47550;1
49969;48068;1
52681;47241;1
52638;48501;1
52221;48520;1
52812;47526;1
49778;47221;1
50719;47508;1
50193;49198;1
50687;48010;1
51946;46605;1
52617;49342;1
52617;49460;1
50676;47882;1
51860;47899;1
48536;49021;1
51504;49603;1
51653;48685;1
48525;47944;1
50002;49200;1
50184;49458;1
53053;49269;1
50042;49853;1
50696;46255;1
50300;48715;1
51437;48623;1
51379;48160;1
51144;47263;1
50876;49734;1
51413;46135;1
50533;49789;1
51135;47611;1
51320;49118;1
52559;52735;1
52221;48011;1
53397;48783;1
51245;50137;1
50507;50951;1
51487;49624;1
48837;48575;1
50652;48996;1
49663;50428;1
49419;45147;1
49601;47857;1
48350;47100;1
48039;50185;1
50893;51127;1
50739;49679;1
52081;49489;1
51496;46588;1
50435;48231;1
51497;47766;1
51939;49800;1
50580;48511;1
49809;50064;1
51722;48853;1
50358;47959;1
50638;48026;1
51885;49564;1
52500;51313;1
53006;51319;1
50172;47860;1
50014;49077;1
48904;50964;1
52581;48207;1
50885;47744;1
51145;51511;1
52560;50814;1
48720;48943;1
50949;48339;1
47763;47492;1
48093;48847;1
50277;49607;1
49807;48319;1
52226;49015;1
52224;49464;1
49725;48980;1
50350;48070;1
50925;48541;1
51546;49680;1
51152;48744;1
49375;48754;1
49329;44378;1
50618;50504;1
49498;47624;1
50908;47596;1
51427;48795;1
53081;49230;1
52021;50652;1
50696;49628;1
51443;48057;1
52385;48925;1
50587;48838;1
48529;46961;1
50929;52530;1
50067;49584;1
52239;50403;1
51380;46816;1
49541;47532;1
49049;50053;1
58870;45226;1
59374;44507;1
59253;49893;1
61300;45277;1
61653;43778;1
59953;45389;1
60861;44796;1
61930;46257;1
58671;45183;1
60593;45861;1
58420;44781;1
61855;46137;1
61133;44700;1
61112;45484;1
63134;47142;1
61235;45053;1
57496;45405;1
60372;44439;1
60705;46366;1
61213;48245;1
58256;46216;1
59183;46253;1
60289;45788;1
59207;45335;1
62701;44788;1
59882;44607;1
61121;48956;1
57415;44881;1
57903;47229;1
59331;42999;1
60571;46112;1
60784;47752;1
58268;45701;1
60763;45925;1
62447;45235;1
60465;48014;1
59590;45610;1
59217;47651;1
62097;44621;1
58634;43703;1
61102;46312;1
61878;47010;1
61314;45663;1
60249;47899;1
59325;48978;1
59029;43137;1
60709;43461;1
57817;45498;1
61299;47746;1
59362;45997;1
62307;45105;1
60231;47183;1
59998;46912;1
60739;45570;1
61708;45883;1
59066;46619;1
58730;46803;1
57717;48281;1
57203;47382;1
58348;48287;1
60470;45476;1
58924;46965;1
58862;46266;1
59400;47672;1
60414;45052;1
61598;45003;1
58813;47990;1
60992;44265;1
59974;44364;1
61145;45932;1
60710;45087;1
58694;46824;1
59850;46681;1
58608;47945;1
58911;46230;1
61417;43176;1
59191;45551;1
58485;43415;1
62141;43026;1
63370;45884;1
58197;44714;1
61331;43082;1
60972;44250;1
60424;43917;1
62171;44736;1
59684;46141;1
60644;45680;1
59411;48115;1
59823;44185;1
62181;49244;1
60035;45759;1
58759;46105;1
60797;47826;1
62939;44089;1
61491;48260;1
62262;46903;1
59795;44489;1
61395;46119;1
58232;46796;1
57976;45578;1
61077;45880;1
61777;47582;1
62496;43916;1
60479;45423;1
58601;47656;1
61032;44031;1
58181;46222;1
59356;45572;1
55896;47225;1
59692;44645;1
60897;44915;1
59337;42941;1
57962;46260;1
57813;45740;1
59822;47324;1
61761;48521;1
61106;45858;1
60987;46482;1
61157;45321;1
61543;46490;1
57516;45058;1
60514;47708;1
58018;42944;1
62275;46474;1
62269;47075;1
59431;46355;1
59818;45806;1
58318;47500;1
60973;43825;1
58218;44486;1
60205;46653;1
60403;46465;1
60188;45957;1
59305;44215;1
60642;46219;1
61794;45089;1
60606;47553;1
61284;45441;1
61676;45255;1
59277;44809;1
59148;47748;1
61285;44544;1
59927;45471;1
59855;45241;1
62672;43501;1
61648;47644;1
61623;44381;1
60987;48401;1
60802;47068;1
61971;46440;1
59182;50285;1
59748;52499;1
58046;53129;1
61496;51630;1
57852;53639;1
59985;54614;1
57490;50448;1
59352;48444;1
58417;52216;1
60418;51972;1
58854;52919;1
60774;53105;1
61213;49916;1
55095;52085;1
57194;52148;1
61975;52117;1
58438;51888;1
59017;51283;1
60119;54375;1
59899;50243;1
62409;53289;1
59807;48360;1
60373;53833;1
60248;51796;1
60684;53227;1
61369;51251;1
58147;53037;1
59753;52591;1
60652;51129;1
59461;51341;1
58158;49589;1
61310;49722;1
59200;52802;1
59593;51890;1
56593;51088;1
59163;55436;1
60981;52675;1
60806;52983;1
59334;48886;1
57234;52296;1
62246;51019;1
60982;50994;1
61562;49999;1
59552;50865;1
59088;53114;1
59087;49401;1
57564;52301;1
61744;53939;1
58386;54126;1
60678;50751;1
57622;49400;1
60525;50455;1
59770;52990;1
59152;52109;1
58007;51251;1
60072;51501;1
61512;52776;1
60005;50898;1
60165;49050;1
59865;51003;1
58335;50170;1
58052;52197;1
62430;53034;1
60343;52190;1
59949;51416;1
60403;53557;1
57196;52798;1
60011;49886;1
57242;49888;1
56580;50897;1
56608;53024;1
58583;52766;1
58547;53001;1
62336;54289;1
64691;50948;1
57681;51657;1
60945;52204;1
58014;53809;1
61347;49963;1
60564;52271;1
59474;51569;1
59922;51370;1
60617;52220;1
58855;51176;1
57548;53060;1
57486;51799;1
62641;51926;1
59666;52447;1
61682;51161;1
58859;51826;1
59471;50576;1
59316;50743;1
58702;51112;1
58906;50218;1
58633;54156;1
59252;49744;1
62330;52499;1
60574;51754;1
60484;51739;1
60563;49392;1
60013;52410;1
57890;53523;1
59797;51090;1
58670;51762;1
60313;49557;1
56378;51069;1
58622;50401;1
58860;51752;1
61255;52264;1
58647;53533;1
62442;52636;1
61004;52248;1
56054;52169;1
60445;52542;1
59447;51355;1
58059;53563;1
57587;52335;1
60038;53227;1
59047;53225;1
60163;52927;1
57061;49822;1
58286;52031;1
59838;50740;1
60235;50875;1
59972;50086;1
61787;53406;1
60086;50479;1
59818;50359;1
59427;51337;1
59379;48500;1
58801;52767;1
58936;51829;1
58176;53199;1
59128;50589;1
59307;52419;1
61265;51193;1
59533;51023;1
60657;50999;1
57791;52937;1
60801;50837;1
60502;53335;1
60320;49012;1
59457;52582;1
58792;52100;1
57652;51718;1
57388;51212;1
58281;54245;1
62349;52922;1
57964;48880;1
59620;52129;1
43478;45608;1
45419;45927;1
46656;46590;1
45018;45803;1
43759;44307;1
42188;44864;1
43054;45478;1
45434;43766;1
44946;42258;1
43835;45332;1
43462;45636;1
44202;45854;1
45537;45294;1
44871;46713;1
43519;46607;1
45255;49117;1
45792;44032;1
43714;42881;1
44310;46642;1
45233;43756;1
44444;44968;1
43338;46099;1
42970;46238;1
41967;46740;1
44441;45522;1
44777;44263;1
44436;47374;1
43155;45637;1
45590;45829;1
44781;45786;1
43601;46919;1
46305;45959;1
41869;44010;1
43346;44722;1
42205;44895;1
44128;43566;1
42729;46022;1
44993;47285;1
43292;46926;1
43911;45724;1
43953;45891;1
45779;47297;1
42357;44214;1
44328;43843;1
42809;47544;1
43157;42754;1
43925;45390;1
43115;47237;1
43073;45662;1
45030;47358;1
44305;47441;1
44191;46111;1
45748;45373;1
41650;44288;1
42350;45677;1
44121;45686;1
42073;47804;1
43537;44164;1
45307;46959;1
44906;44367;1
45483;49576;1
46259;47739;1
45462;46015;1
44314;46552;1
44773;44472;1
44108;47308;1
44630;45910;1
44403;45462;1
45455;47051;1
44222;47283;1
44720;46277;1
41762;45856;1
44441;44084;1
46080;45581;1
44860;45401;1
45467;46484;1
43637;47501;1
44730;44597;1
45639;46267;1
45155;46300;1
42885;43424;1
41809;46177;1
44570;47080;1
45621;43643;1
43997;43614;1
45602;47699;1
45323;45375;1
44009;45753;1
45568;45030;1
41393;47923;1
44731;45782;1
45463;44569;1
40980;46486;1
43674;44582;1
45222;46187;1
44653;46583;1
41685;46400;1
43546;46236;1
46164;46580;1
45144;44224;1
44657;45522;1
45636;44805;1
43893;45804;1
46325;46465;1
43637;46126;1
44980;46433;1
43154;46704;1
46369;46355;1
45492;45184;1
43310;47950;1
45171;45436;1
44134;45523;1
45170;46219;1
