X,Y,Label
-0.848469727,1.323396318,1
-0.596120121,1.325692448,1
-1.086427633,1.332406364,1
-1.388433592,1.513208745,1
-0.935203047,1.433363311,1
-0.739536792,1.463350541,1
-0.690766387,1.302982652,1
-1.066809712,1.689769752,1
-1.09500035,1.370080489,1
-0.878285161,1.335864558,1
-1.002984839,1.377567739,1
-0.678586178,1.599434076,1
-1.033938586,1.461112788,1
-1.293933238,1.682169193,1
-0.742093577,1.355766092,1
-1.244159776,1.826755127,1
-0.710318337,1.751016629,1
-0.96373136,1.147610803,1
-0.845582059,1.463462763,1
-0.992915857,1.428365282,1
-0.93416614,1.287909928,1
-0.859318865,1.873699354,1
-0.821482079,1.321553358,1
-1.15633627,1.469408771,1
-0.888461966,1.793069935,1
-0.875660043,1.047974717,1
-0.90575187,1.613989747,1
-1.253228565,1.485789342,1
-0.759211616,1.522445246,1
-0.75754174,1.342661917,1
-0.953959147,1.464345551,1
-0.977854112,1.39783528,1
-0.88335949,1.212933011,1
-0.709059239,1.574534512,1
-0.737472159,1.32337789,1
-1.0234584,1.179219464,1
-0.444337142,1.489350504,1
-0.977920933,1.603951761,1
-1.36636999,1.4877644,1
-1.18566176,0.97704018,1
-0.888486532,1.207900298,1
-1.160395741,1.855672408,1
-1.008456015,1.466787558,1
-0.792752101,1.247431046,1
-1.071548383,1.226341094,1
-1.477089732,1.276465178,1
-0.947066697,1.068365484,1
-0.672400818,1.481619881,1
-1.03057766,1.696172756,1
-1.03582465,1.431777576,1
-0.995502087,1.450275842,1
-1.029116565,1.396551985,1
-0.650611734,1.463608855,1
-1.169860492,1.483528141,1
-1.220045302,1.727582752,1
-0.736648588,1.662135166,1
-0.972575638,1.315873588,1
-0.616204186,0.947691536,1
-1.050374465,1.65015556,1
-1.070334958,1.469066535,1
-1.065188475,1.329414197,1
-0.607538226,1.022721981,1
-1.08653591,1.591912132,1
-1.367478374,1.462944656,1
-1.016251373,1.227291435,1
-1.009757053,1.361706668,1
-0.984191336,1.403021284,1
-1.125164521,1.612871224,1
-1.146000883,1.129365239,1
-1.258954546,1.390988547,1
-1.186852272,1.453074013,1
-1.050019591,1.192647634,1
-0.995938798,1.387531598,1
-1.210877565,1.64950936,1
-1.16854186,1.554712844,1
-0.830257775,1.470863419,1
-1.117276175,1.539912869,1
-0.733294267,1.999173502,1
-1.004215087,1.324818556,1
-0.897585862,1.485052998,1
-1.182955359,1.457975671,1
-1.155712108,1.560974135,1
-0.982554298,1.321474485,1
-1.453605197,1.603335009,1
-0.702962677,1.195477588,1
-0.937354866,1.394539409,1
-0.739972444,1.468681107,1
-1.26598016,1.452967182,1
-1.099037399,1.231142739,1
-0.875710771,1.3291435,1
-1.303382658,1.171529749,1
-1.403788668,1.56033714,1
-0.871196709,1.448927448,1
-1.364181991,1.532637218,1
-0.82679183,1.545723567,1
-1.005253651,1.682136907,1
-1.254420982,1.262502768,1
-0.956830931,1.770167846,1
-0.813940699,1.402122686,1
-0.851712133,1.618752725,1
-0.865026533,1.636381128,1
-0.722087549,1.259191545,1
-1.178664475,1.261172865,1
-0.577001383,1.720221648,1
-1.37331826,1.581537937,1
-1.077900579,1.181308299,1
-1.08674834,1.54033716,1
-1.02892063,1.497164836,1
-1.172777043,1.459643358,1
-0.876772325,1.55886552,1
-0.879675215,1.116701249,1
-1.10946893,1.496930543,1
-1.065771834,1.385222298,1
-1.187777084,1.271143201,1
-0.869535086,1.516879306,1
-0.744092102,1.811196298,1
-0.887498483,1.534894334,1
-1.312126177,1.580377894,1
-0.794744686,1.456236047,1
-1.203739075,1.427360556,1
-1.246800353,1.269950166,1
-0.876592325,1.277931112,1
-1.05200433,1.735157504,1
-1.013883274,1.557884614,1
-1.28917139,1.344894012,1
-0.939188946,-0.705652365,2
-0.831376905,-1.857113034,2
-1.404355769,-0.681253397,2
-1.497512005,-1.176393855,2
-0.596241657,-0.677973254,2
-0.839863097,-1.038840888,2
-0.561398325,-1.991717823,2
-1.073996772,-0.1615784,2
-0.938728814,-0.270734531,2
-1.222245621,-0.412365148,2
-0.718744726,-1.613844442,2
-0.563516658,-0.184412459,2
-1.093968584,-1.756849989,2
-0.582531149,-1.239282204,2
-1.239015268,-1.876540328,2
-0.825229936,-0.953456406,2
-1.28086822,-0.645028431,2
-0.670166348,-1.910690748,2
-0.617244307,-0.560340622,2
-1.479617371,-0.721475954,2
-0.821997439,-0.109318499,2
-1.11311036,-0.95071941,2
-0.951828935,-0.96458126,2
-0.715969788,-1.136659643,2
-1.285487402,-1.621442103,2
-0.95132569,-1.304711904,2
-1.002021311,-1.023361495,2
-1.0817762,-1.675595585,2
-1.366704914,-1.666786925,2
-1.267828924,-1.276843212,2
-0.657021234,-1.154784068,2
-1.063948925,-1.104865669,2
-1.489672521,-0.805129288,2
-0.865193775,-1.525442867,2
-0.550295431,-1.961427757,2
-0.687144387,-0.480904485,2
-0.616879553,-1.256394621,2
-0.958756587,-1.436815451,2
-0.619118937,-1.03222949,2
-1.164554327,-0.114532137,2
-1.361993321,-0.802619326,2
-1.173878938,-1.216158987,2
-1.323558385,-1.894732261,2
-0.670853243,-0.578646837,2
-0.618273382,-1.52338088,2
-1.175421461,-1.874106925,2
-0.685494762,-0.996794208,2
-1.454458234,-0.616929067,2
-0.552647809,-1.911029869,2
-1.323112919,-0.000684103,2
-0.624833778,-1.073708507,2
-1.446666903,-1.80854373,2
-0.634595207,-0.081658161,2
-0.99652119,-0.906627015,2
-1.270208468,-0.421360442,2
-1.318266823,-0.865716012,2
-1.400430958,-1.410650645,2
-1.230293136,-0.664542533,2
-0.748605269,-0.744736643,2
-0.857816182,-1.888213448,2
-1.277520218,-0.708413824,2
-1.42876762,-0.141798647,2
-1.474905734,-1.227349263,2
-0.854082493,-0.381010521,2
-1.130988053,-0.255968186,2
-0.978126872,-1.490560834,2
-1.480067418,-1.084610003,2
-1.110766281,-1.622784039,2
-1.002087005,-1.698470938,2
-1.274745757,-1.678883674,2
-0.64694447,-0.985747513,2
-1.050118463,-1.993222925,2
-0.658589148,-1.403457205,2
-0.781752547,-1.647751771,2
-0.671626644,-1.705546741,2
-0.668257735,-0.883295709,2
-1.346237026,-1.00433376,2
-1.254267307,-0.284395234,2
-1.325384345,-1.130461762,2
-1.189241571,-0.882528584,2
-0.808598246,-0.178806046,2
-0.949047449,-0.992850987,2
-1.492343884,-0.937084802,2
-0.564588292,-0.067755916,2
-0.769593286,-1.178883913,2
-1.12295164,-0.32101362,2
-0.887696467,-0.371455732,2
-1.390170614,-1.692535844,2
-0.668097593,-0.927021574,2
-1.273021696,-0.924686449,2
-0.869943404,-0.912077096,2
-0.99259551,-0.607163885,2
-1.338359997,-0.614626444,2
-0.687029585,-1.089428337,2
-0.618252187,-0.072833939,2
-1.076151922,-1.305065407,2
-0.745972262,-1.88653773,2
-0.535699637,-0.140572418,2
-0.900014501,-1.864837757,2
-1.202392104,-1.713600503,2
-1.148226983,-0.164088954,2
-1.356825093,-0.315492241,2
-0.805821755,-1.598359172,2
-1.138077972,-1.890988255,2
-1.382299792,-1.395118044,2
-1.346363879,-1.24090333,2
-1.076319747,-0.187048684,2
-1.015346131,-0.590264151,2
-1.3691128,-0.162100952,2
-0.582106363,-1.637866281,2
-1.23599161,-1.757606698,2
-0.606892748,-1.060764319,2
-1.412370736,-1.290556884,2
-1.344699717,-0.51435718,2
-0.950136342,-1.054944789,2
-1.474859939,-0.683771619,2
-1.18353863,-1.025820827,2
-0.683456446,-1.414567092,2
-1.357735382,-0.120466223,2
-1.240989626,-1.422213021,2
-0.927586275,-0.332802427,2
-0.853393961,-1.389898,2
-0.771173945,-1.275548093,2
-1.123179988,-1.60510612,2
-0.901926464,-0.688342197,2
0.512453451,1.400076709,3
0.953415585,1.727319601,3
0.679266043,1.351831551,3
1.792555697,1.195984518,3
0.777295252,1.57723697,3
0.623158565,1.180064726,3
1.007999096,1.114145874,3
1.0308087,1.790888408,3
1.252775358,1.696181918,3
1.361120691,1.37475007,3
1.3060478,1.329931414,3
0.858865554,1.633151168,3
0.713947768,1.688554621,3
1.008034182,1.898974524,3
1.547896273,1.091490586,3
0.981394888,1.840664184,3
1.361594858,1.416401577,3
0.865990291,1.831866501,3
0.770397244,1.229994633,3
0.990927662,1.834144107,3
1.347639898,1.079812867,3
0.822669851,1.577810468,3
1.055971774,1.800193982,3
1.179337444,1.784434409,3
1.090070537,1.748641274,3
1.257705214,1.476595791,3
0.455110475,1.214043498,3
0.925977673,1.669916621,3
0.808440844,1.705977418,3
0.367837604,1.252434161,3
1.395225489,1.200179992,3
1.192810477,1.312517739,3
0.62719628,1.477866706,3
1.169522298,1.460575686,3
0.883674438,1.752003255,3
1.262068298,1.139990335,3
0.729132063,1.12708882,3
1.327572309,1.446449071,3
0.953569144,1.385968215,3
1.489169021,1.265248468,3
0.690255161,1.232683323,3
1.440544111,1.466823039,3
1.13184014,1.787038534,3
1.075681021,1.77527109,3
1.856321641,1.131323121,3
1.76333503,1.034958775,3
1.356531445,1.46600095,3
1.318383867,1.591758864,3
0.928890199,1.403890988,3
0.994322141,1.627046886,3
1.167624675,1.600343752,3
0.789988588,1.002396238,3
0.880365685,1.846987635,3
0.370711691,1.320552869,3
1.236631292,1.605908424,3
1.023332913,1.901286115,3
1.024154853,1.253293413,3
1.264462441,1.631544783,3
0.940878316,1.899874919,3
1.090072994,1.026456511,3
0.818698228,1.646066579,3
0.939809634,1.937087261,3
0.600558232,1.412344782,3
1.0417986,1.869785689,3
1.418442247,1.526174176,3
0.980921829,1.44379363,3
1.091967,1.332325869,3
1.138962175,1.506217528,3
1.046803413,1.734724674,3
1.631474089,1.1598338,3
1.857571777,1.080048868,3
0.971356216,1.633452459,3
1.005705656,1.405675848,3
1.571513556,1.205281867,3
0.905103107,1.891171652,3
0.949159773,1.903146152,3
