X,Y,Label
0.333333333,0,1
0.338238916,0.017016076,1
-1.319848243,0.909143036,2
0.34226315,0.03452443,1
0.609720413,0.397775084,2
-0.856233799,0.41613421,2
0.345369009,0.052478806,1
0.347521925,0.070830473,1
0.439607982,-0.392502994,2
-0.094604383,1.503693604,2
0.348689938,0.089528359,1
0.674637997,0.085226599,2
0.348843847,0.108519191,1
0.34795735,0.127747644,1
0.346007175,0.147156499,1
-0.8490404,-0.650080132,2
0.647995451,0.295035414,2
0.342973203,0.166686812,1
1.276893041,0.505557719,2
0.338838583,0.186278087,1
0.333589837,0.205868455,1
0.072389386,0.820814094,2
0.327216952,0.225394862,1
0.319713467,0.244793267,1
0.311076544,0.263998832,1
0.301307033,0.282946137,1
0.290409517,0.301569378,1
0.27839236,0.319802585,1
0.07091607,-0.50975748,2
0.265267727,0.337579834,1
-1.659234997,0.083472561,2
-1.529510365,0.561538203,2
0.251051602,0.354835461,1
0.124240806,-0.510430537,2
-0.348843847,-0.108519191,2
-0.402032599,-1.053923047,2
-0.322816159,1.488053596,2
0.23576379,0.371504287,1
-0.242536134,-1.117994733,2
0.674754757,0.119949136,2
0.219427909,0.387521832,1
-0.398565822,1.475103144,2
0.202071369,0.402824535,1
-0.346007175,-0.147156499,2
0.232759346,-0.494638789,2
0.462925582,-0.37326713,2
0.183725335,0.417349975,1
0.16442468,0.431037085,1
0.144207931,0.443826374,1
0.112804318,0.810857754,2
0.123117191,0.455660134,1
0.10119806,0.466482651,1
0.078499538,0.476240416,1
0.055073916,0.48488232,1
0.030976656,0.492359853,1
0.006266265,0.498627294,1
-0.018995852,0.503641894,1
0.673073227,0.154896339,2
1.052274309,0.939520741,2
0.415536835,-0.410347582,2
1.229964999,-0.416798768,2
0.936902079,-0.836510905,2
0.367776672,0.689363545,2
-0.044745543,0.507364052,1
-0.055073916,-0.48488232,2
-0.07091607,0.50975748,1
-0.097438284,0.51078937,1
-0.124240806,0.510430537,1
-0.151250222,0.508655563,1
0.648181605,-0.081884379,2
-0.178391276,0.505442927,1
